sBPM_OrcaH34_Dyno_Curves_Low_Speed_Static_Curve_680rpm__230Vac_50C_20240805_115519
Report created on: 2024/08/05: 12:10:49


Step N. = 	0
Target Speed = 	680

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
673.7290	680.4167	6.6877	0.9829	2.1008	2.1125	2.0638	0.0369	1.7576	0.1215	0.1213	7.6535	2.7152	2.8202	-1.6819	3.5661	2.7602	2.7684	-0.0082	-0.2954	0.0000	23.2287	61.1802	80.1828	79.3831	-0.7998	-1.0075	353.7260	350.7800	-2.9460	-0.8398	230.4344	3.0459	391.3158	0.5575	nan	211.0669	149.6849	42.6720	89.6412	38.2517	113.8792	166.2500	0.9243	353.6719	-2.8919	-0.8244	37.6104	30.3543	0.7611	
681.4688	678.5455	-2.9234	-0.4308	2.0005	1.9465	1.9461	0.0543	2.7156	0.1183	0.1187	6.8112	2.4998	2.7282	-1.4775	3.4349	2.6359	2.6449	-0.0090	-0.3406	0.0000	22.2338	59.1663	77.4312	77.0153	-0.4160	-0.5401	325.4643	324.9182	-0.5462	-0.1681	230.6245	2.8520	362.9418	0.5518	nan	212.2942	142.1464	43.7484	89.5235	39.1651	114.9556	165.4984	0.9241	327.2935	-2.3754	-0.7311	36.2776	26.5729	0.7589	
686.8064	680.6154	-6.1910	-0.9096	1.9003	1.8036	1.8655	0.0348	1.8317	0.1174	0.1161	6.3689	2.4024	2.6509	-1.3833	3.3182	2.5138	2.5222	-0.0085	-0.3372	0.0000	20.8911	57.7263	75.1946	74.6403	-0.5543	-0.7426	305.0152	300.1908	-4.8244	-1.6071	230.7233	2.6637	335.9115	0.5466	nan	213.3614	135.4422	45.1187	89.3660	40.3208	115.3819	163.9022	0.9237	301.6136	-1.4228	-0.4740	34.9830	22.5091	0.7560	
678.8690	680.6667	1.7976	0.2641	1.8005	1.7673	1.7726	0.0279	1.5506	0.1158	0.1153	5.7514	2.2443	2.5620	-1.1781	3.1668	2.3906	2.3984	-0.0078	-0.3261	0.0000	19.0200	55.7489	72.1625	72.1988	0.0362	0.0502	278.1750	275.9950	-2.1800	-0.7899	230.7283	2.4788	309.4800	0.5411	nan	214.3889	128.3381	46.5002	89.1802	41.4690	115.2411	161.4037	0.9232	277.1728	-1.1778	-0.4268	33.6765	19.0631	0.7531	
681.5754	680.8889	-0.6865	-0.1008	1.6996	1.6487	1.6403	0.0592	3.4846	0.1129	0.1134	4.9555	2.0546	2.4144	-1.0041	3.0557	2.2659	2.2747	-0.0087	-0.3854	0.0000	17.7513	54.5514	70.2716	69.7282	-0.5434	-0.7793	252.2027	252.5478	0.3451	0.1366	230.6952	2.2971	283.7456	0.5355	nan	215.2090	121.1826	47.9840	89.0050	42.7082	114.6752	158.4877	0.9228	254.0071	-1.4593	-0.5778	32.4002	16.0296	0.7500	
682.6413	680.8333	-1.8080	-0.2656	1.5997	1.5446	1.5609	0.0388	2.4251	0.1121	0.1116	4.5301	1.9488	2.3272	-0.8576	2.8702	2.1413	2.1486	-0.0073	-0.3409	0.0000	15.7882	52.0571	66.6313	67.2414	0.6101	0.9074	227.8942	230.0517	2.1575	0.9378	230.5873	2.1213	259.1925	0.5299	nan	216.0773	114.0510	49.5763	88.7571	44.0024	113.6860	155.0663	0.9225	231.0908	-1.0391	-0.4517	31.1192	13.3032	0.7470	
683.9574	679.8889	-4.0685	-0.5984	1.4997	1.4414	1.4635	0.0362	2.4135	0.1098	0.1095	3.8689	1.7457	2.2181	-0.7257	2.7604	2.0173	2.0235	-0.0062	-0.3077	0.0000	14.5459	51.3547	65.3725	64.7612	-0.6113	-0.9440	208.9791	208.6733	-0.3057	-0.1465	230.5088	1.9509	235.7556	0.5243	nan	216.8217	106.7729	51.1675	88.5126	45.2897	112.2849	151.0142	0.9222	209.6352	-0.9618	-0.4609	29.8684	11.1353	0.7434	
685.3941	680.3077	-5.0864	-0.7477	1.4007	1.3354	1.3684	0.0322	2.3020	0.1081	0.1081	3.3850	1.6100	2.1038	-0.5696	2.6298	1.8906	1.8970	-0.0065	-0.3420	0.0000	13.3790	49.7124	63.0573	62.2660	-0.7913	-1.2709	189.1713	188.0046	-1.1667	-0.6206	230.3478	1.7841	213.1831	0.5187	nan	217.4380	99.7876	53.0773	88.1893	46.8084	110.7097	146.9637	0.9221	189.4389	-1.4342	-0.7629	28.6362	8.8706	0.7409	
681.3786	679.9167	-1.4619	-0.2150	1.2992	1.2727	1.2685	0.0308	2.3680	0.1066	0.1068	2.9481	1.4901	1.9799	-0.4942	2.4406	1.7613	1.7676	-0.0063	-0.3579	0.0000	11.7913	47.4849	59.9288	59.7331	-0.1957	-0.3276	167.3564	168.0075	0.6511	0.3876	230.0458	1.6202	191.2942	0.5132	nan	217.9157	92.5076	55.0616	87.8268	48.3588	108.7267	142.2853	0.9220	169.7663	-1.7588	-1.0469	27.4111	7.0403	0.7377	
678.7907	678.1111	-0.6796	-0.1002	1.2003	1.1994	1.1928	0.0075	0.6277	0.1051	0.1055	2.4274	1.2841	1.8895	-0.3020	2.2967	1.6313	1.6372	-0.0060	-0.3649	0.0000	10.7157	45.8705	57.6956	57.2219	-0.4737	-0.8278	150.5991	149.0756	-1.5235	-1.0220	229.9630	1.4623	170.5389	0.5071	nan	218.5931	85.2374	57.1774	87.4144	49.9813	106.6342	137.7053	0.9220	150.3298	-1.2543	-0.8414	26.1774	5.4850	0.7358	
