WindyBPMp50_AtlasH32_Dyno_Speed_Torque__230Vac_40C_20241120_144232
Report created on: 2024/11/20: 15:18:33


Step N. = 	0
Target Speed = 	349

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
350.5235	349.2500	-1.2735	-0.3646	2.0987	2.4003	2.3799	-0.2811	-13.3959	0.1218	0.1224	6.7013	2.0559	3.2585	-1.1117	3.7239	2.7081	2.7487	-0.0407	-1.5019	0.0000	8.1011	29.9302	37.9838	36.8405	-1.1433	-3.1034	171.3222	164.7975	-6.5247	-3.9592	230.3515	1.2593	198.1800	0.6832	nan	212.7153	76.7584	46.5774	83.1555	38.7317	60.1989	54.3525	0.9537	171.9525	-7.1550	-4.3417	17.3192	4.6350	0.7750	
347.6520	348.6667	1.0146	0.2910	1.9996	2.3086	2.2784	-0.2788	-13.9435	0.1199	0.1204	6.0370	1.9043	3.1696	-1.0962	3.5429	2.5808	2.6360	-0.0552	-2.1381	0.0000	7.3217	29.1606	36.8264	35.7944	-1.0319	-2.8829	159.5999	153.0133	-6.5866	-4.3046	230.3564	1.1801	184.3922	0.6783	nan	213.1270	73.0084	47.7138	82.9825	39.5941	60.7401	54.3253	0.9563	160.2760	-7.2626	-4.7464	16.7949	4.1105	0.7748	
354.9699	349.0000	-5.9699	-1.7106	1.9000	2.1169	2.1441	-0.2441	-12.8452	0.1174	0.1172	5.4102	1.7758	3.0461	-0.9495	3.3820	2.4549	2.5017	-0.0468	-1.9051	0.0000	6.7420	28.5951	35.9861	34.7628	-1.2233	-3.5191	148.6703	141.7175	-6.9528	-4.9061	230.3860	1.1039	171.2100	0.6732	nan	213.6274	69.4397	48.9986	82.7741	40.5582	61.1462	54.2639	0.9588	148.6735	-6.9560	-4.9083	16.2726	3.5076	0.7739	
352.5827	348.6667	-3.9161	-1.1232	1.7994	2.0230	2.0448	-0.2454	-13.6374	0.1155	0.1153	4.8409	1.6372	2.9526	-0.9431	3.2237	2.3292	2.3819	-0.0527	-2.2625	0.0000	6.2709	27.7379	34.8297	33.7326	-1.0972	-3.2526	138.2779	130.7989	-7.4790	-5.7179	230.4302	1.0292	158.4811	0.6683	nan	214.0924	65.7018	50.2312	82.5328	41.4572	61.3777	54.1773	0.9611	138.1176	-7.3187	-5.5954	15.7561	3.1410	0.7726	
349.6509	349.1250	-0.5259	-0.1506	1.7007	1.9085	1.9132	-0.2125	-12.4922	0.1131	0.1129	4.1604	1.4737	2.8213	-0.9112	3.0632	2.2020	2.2386	-0.0366	-1.6612	0.0000	5.7239	26.9413	33.7358	32.6735	-1.0623	-3.2514	126.6930	120.1063	-6.5867	-5.4841	230.4844	0.9553	145.9475	0.6629	nan	214.6648	62.1799	51.7708	82.2941	42.6043	61.4132	54.0458	0.9638	125.7726	-5.6663	-4.7178	15.2207	2.5460	0.7724	
353.2877	350.2222	-3.0655	-0.8753	1.5992	1.7614	1.7657	-0.1664	-10.4069	0.1105	0.1107	3.4633	1.3018	2.6582	-0.7483	2.8899	2.0753	2.1194	-0.0441	-2.1239	0.0000	5.2359	26.1603	32.6769	31.6151	-1.0618	-3.3584	114.5251	109.8389	-4.6862	-4.2665	230.5029	0.8840	133.9733	0.6575	nan	215.2028	58.6518	53.3981	81.9856	43.7788	61.2864	53.8961	0.9665	114.5001	-4.6612	-4.2437	14.6908	2.0177	0.7706	
350.9634	348.4444	-2.5189	-0.7229	1.4999	1.6606	1.6624	-0.1625	-10.8358	0.1086	0.1086	2.9204	1.1444	2.5517	-0.7608	2.6712	1.9489	1.9805	-0.0316	-1.6216	0.0000	4.3758	25.3490	31.5097	30.5420	-0.9677	-3.1683	104.5529	99.9811	-4.5718	-4.5726	230.4697	0.8151	122.4567	0.6518	nan	215.6657	54.7296	54.7400	81.6461	44.6930	61.0650	53.7341	0.9698	104.2989	-4.3178	-4.3186	14.1617	1.9223	0.7696	
351.7183	350.0000	-1.7183	-0.4910	1.3998	1.5505	1.5341	-0.1343	-9.5978	0.1065	0.1068	2.3477	0.9779	2.3997	-0.6621	2.5484	1.8211	1.8697	-0.0485	-2.6640	0.0000	4.1408	24.5380	30.4831	29.4661	-1.0170	-3.4515	94.4595	90.4611	-3.9984	-4.4200	230.4338	0.7479	111.2878	0.6458	nan	216.0231	51.3046	56.7145	81.2858	46.1009	60.7339	53.5602	0.9733	95.1670	-4.7059	-5.2021	13.6403	1.3664	0.7686	
352.9525	348.6667	-4.2858	-1.2292	1.3003	1.4280	1.4679	-0.1676	-12.8861	0.1056	0.1047	2.0429	0.8804	2.3201	-0.6151	2.3280	1.6938	1.7406	-0.0468	-2.7604	0.0000	3.4383	23.5901	29.1988	28.3722	-0.8266	-2.9135	86.6521	81.3522	-5.2998	-6.5147	230.4309	0.6827	100.6256	0.6396	nan	216.5476	47.4781	58.3613	80.8465	47.1830	60.3062	53.3579	0.9774	85.6360	-4.2838	-5.2658	13.1021	1.2331	0.7677	
351.8583	349.7500	-2.1083	-0.6028	1.1995	1.3129	1.3237	-0.1242	-10.3556	0.1030	0.1028	1.5276	0.7132	2.1429	-0.5911	2.1735	1.5670	1.5908	-0.0238	-1.5175	0.0000	2.9551	22.7759	28.1305	27.2526	-0.8779	-3.2212	76.3900	72.6513	-3.7387	-5.1461	230.4571	0.6200	90.4062	0.6328	nan	217.1310	43.9326	60.4705	80.3609	48.5947	59.7476	53.1305	0.9822	76.6520	-4.0008	-5.5068	12.5512	0.8360	0.7655	
