WindyBPMp50_HefeiH24_LowSpeedTorque_230Vac_ID12__330uF_20250529_134907
Report created on: 2025/05/29: 14:46:12


Step N. = 	0
Target Speed = 	349

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
344.9467	349.4444	4.4978	1.2871	1.4989	1.5580	1.5403	-0.0414	-2.7597	0.1112	0.1113	5.2342	2.2668	2.3097	-0.2381	3.2356	2.2650	2.2852	-0.0202	-0.8920	0.0000	7.7366	24.6406	31.6317	30.6736	-0.9582	-3.1237	111.6946	106.8889	-4.8058	-4.4960	230.7893	0.8800	133.3078	0.6564	nan	215.3692	54.8500	51.3150	80.1820	41.1454	51.8753	78.3973	0.8883	111.2166	-4.3277	-4.0488	14.2423	3.2533	0.6618	
351.4123	349.3750	-2.0373	-0.5831	1.4004	1.4243	1.4404	-0.0400	-2.8564	0.1098	0.1097	4.4941	2.0534	2.1880	-0.1108	3.0032	2.1079	2.1265	-0.0186	-0.8824	0.0000	7.2551	23.9259	30.6239	29.6409	-0.9831	-3.3166	100.8407	96.1625	-4.6782	-4.8648	230.9560	0.8030	120.4788	0.6497	nan	216.0330	51.2348	53.2795	79.8170	42.5261	51.7630	77.7632	0.8886	100.1882	-4.0257	-4.1864	13.7205	2.6918	0.6643	
344.4667	347.2000	2.7333	0.7872	1.2990	1.3674	1.3366	-0.0376	-2.8961	0.1075	0.1082	3.8612	1.8733	2.0606	-0.0750	2.7742	1.9482	1.9650	-0.0168	-0.8625	0.0000	6.4420	23.2526	29.5588	28.5196	-1.0392	-3.6439	89.9638	85.9200	-4.0438	-4.7065	230.8370	0.7290	108.1480	0.6427	nan	216.4589	47.2299	54.9696	79.4467	43.6715	51.7762	77.1620	0.8928	90.1226	-4.2026	-4.8913	13.1755	2.6101	0.6668	
347.4012	348.8889	1.4877	0.4264	1.1992	1.2557	1.2485	-0.0493	-4.1116	0.1052	0.1053	3.0797	1.5541	1.9806	-0.0627	2.5524	1.7813	1.7977	-0.0164	-0.9229	0.0000	5.5914	22.4498	28.3409	27.2819	-1.0590	-3.8818	79.6948	75.8678	-3.8270	-5.0443	230.6208	0.6560	96.0489	0.6349	nan	216.8720	43.8142	57.7507	78.9887	45.6165	51.6289	76.5908	0.9013	79.1740	-3.3062	-4.3579	12.5797	1.9073	0.6732	
347.8674	348.3333	0.4659	0.1338	1.0988	1.1584	1.1535	-0.0548	-4.9830	0.1029	0.1029	2.6083	1.3983	1.8645	-0.0684	2.2933	1.6177	1.6327	-0.0150	-0.9302	0.0000	4.7064	21.4389	26.8871	26.0162	-0.8709	-3.3476	69.8069	66.4856	-3.3214	-4.9956	230.5491	0.5864	84.7456	0.6268	nan	217.4159	40.0805	60.2845	78.4532	47.2951	51.3183	75.9751	0.9121	70.1972	-3.7116	-5.5826	11.9661	1.5705	0.6792	
348.9617	349.1111	0.1494	0.0428	0.9989	1.0625	1.0554	-0.0565	-5.6586	0.1004	0.1007	1.9231	1.0987	1.7510	-0.0735	2.0757	1.4627	1.4768	-0.0142	-0.9687	0.0000	4.0393	20.7603	25.9041	24.7829	-1.1212	-4.5241	61.1885	58.0167	-3.1718	-5.4670	230.6972	0.5227	74.5844	0.6185	nan	218.1749	36.5182	62.9443	77.7866	48.9622	51.0402	75.4030	0.9240	61.5851	-3.5684	-6.1507	11.3592	1.2160	0.6829	
347.8301	347.3333	-0.4967	-0.1430	0.8992	0.9789	0.9712	-0.0720	-8.0079	0.0985	0.0987	1.4322	0.8738	1.6401	-0.1018	1.8665	1.3092	1.3220	-0.0128	-0.9757	0.0000	3.3136	19.9971	24.8257	23.4992	-1.3265	-5.6447	53.5394	50.0511	-3.4883	-6.9695	230.9008	0.4618	64.9978	0.6096	nan	218.9503	32.7071	65.3474	77.0043	50.3204	50.6654	74.8604	0.9392	53.7111	-3.6599	-7.3124	10.7327	1.1158	0.6868	
349.7288	349.3333	-0.3954	-0.1132	0.7989	0.8697	0.8758	-0.0769	-9.6266	0.0965	0.0964	1.0075	0.6648	1.5165	-0.1076	1.6478	1.1534	1.1652	-0.0118	-1.0243	0.0000	2.5614	19.2225	23.7519	22.1670	-1.5849	-7.1499	46.2899	42.3589	-3.9311	-9.2803	230.9803	0.4021	55.6989	0.5997	nan	219.6498	29.2251	68.9940	76.0498	52.4699	50.3695	74.3517	0.9566	45.9321	-3.5732	-8.4355	10.0920	0.5533	0.6927	
347.1947	349.7143	2.5195	0.7205	0.6996	0.7782	0.7727	-0.0731	-10.4477	0.0946	0.0946	0.6028	0.4411	1.3670	-0.2158	1.4359	0.9996	1.0104	-0.0108	-1.0807	0.0000	1.8884	18.3798	22.6305	20.8556	-1.7750	-8.5107	38.9173	35.1343	-3.7831	-10.7674	230.9767	0.3455	47.0114	0.5891	nan	220.3135	25.6197	72.9194	74.7356	54.4967	50.0106	73.8955	0.9730	38.5340	-3.3997	-9.6762	9.4663	0.0772	0.6998	
350.0097	348.6667	-1.3430	-0.3852	0.6001	0.6574	0.6629	-0.0628	-10.4587	0.0927	0.0928	0.2879	0.2420	1.1911	-0.1377	1.1975	0.8565	0.8658	-0.0093	-1.0860	0.0000	1.4483	17.4685	21.4685	19.6703	-1.7982	-9.1415	31.7276	28.7678	-2.9598	-10.2886	230.9231	0.2947	39.3356	0.5780	nan	220.9295	21.9115	76.1665	73.1343	55.7040	49.6943	73.4735	0.9859	31.7417	-2.9739	-10.3377	8.9034	-0.0639	0.7007	
