WindyBPMp50_OrcaH24_Dyno_Speed_Torque__230Vac_30C_20250130_161947
Report created on: 2025/01/30: 16:24:16


Step N. = 	0
Target Speed = 	780

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
782.6769	781.5556	-1.1213	-0.1435	0.9993	1.1161	1.1447	-0.1454	-14.5508	0.0817	0.0814	2.0234	0.8685	2.3343	-0.8475	2.3446	1.7403	1.7543	-0.0141	-0.8099	0.0000	6.4539	41.4673	51.3987	50.3773	-1.0213	-2.0274	153.6130	147.9800	-5.6330	-3.8066	230.4278	1.0967	169.8811	0.6722	nan	213.7784	81.7898	55.2708	87.1080	48.1453	80.7487	85.3407	0.9745	152.0409	-4.0609	-2.7442	23.5652	8.3319	0.5742	
779.4837	779.7500	0.2663	0.0341	0.8998	1.0180	1.0298	-0.1300	-14.4538	0.0794	0.0794	1.4801	0.6839	2.1688	-0.7639	2.1119	1.5780	1.5906	-0.0126	-0.7998	0.0000	4.8806	39.5893	48.8542	47.6223	-1.2320	-2.5870	133.7784	127.6175	-6.1609	-4.8276	230.5965	0.9633	147.1925	0.6626	nan	214.8031	73.4693	57.5699	86.7011	49.9138	79.2322	82.0777	0.9805	131.4810	-3.8635	-3.0274	22.1702	6.8156	0.5702	
778.1048	780.3333	2.2285	0.2856	0.7992	0.9070	0.8845	-0.0852	-10.6655	0.0769	0.0772	0.9600	0.5046	1.9083	-0.6927	1.8584	1.4059	1.4176	-0.0116	-0.8283	0.0000	3.3948	37.4721	46.0821	44.6938	-1.3884	-3.1064	109.8081	107.4389	-2.3692	-2.2052	230.8327	0.8293	124.7178	0.6515	nan	215.9480	65.3094	60.7875	86.1456	52.3658	77.2708	78.8253	0.9872	111.4501	-4.0113	-3.7335	20.6965	4.7974	0.5685	
781.6919	781.3333	-0.3586	-0.0459	0.7000	0.7726	0.7800	-0.0800	-11.4338	0.0753	0.0753	0.4848	0.2802	1.7269	-0.6412	1.6479	1.2322	1.2418	-0.0096	-0.7752	0.0000	2.4687	35.4259	43.4931	41.8411	-1.6520	-3.9483	92.8049	88.6644	-4.1405	-4.6698	230.8566	0.7026	103.7633	0.6398	nan	216.9225	57.2747	64.5972	85.4487	55.1974	74.9281	75.4172	0.9929	92.5158	-3.8513	-4.3437	19.2885	2.9367	0.5681	
778.4192	780.2222	1.8031	0.2311	0.5993	0.6761	0.6718	-0.0725	-12.0963	0.0741	0.0742	0.2623	0.1753	1.5084	-0.5548	1.4006	1.0618	1.0709	-0.0091	-0.8608	0.0000	1.4698	33.5357	41.1122	39.2340	-1.8782	-4.7873	76.2595	71.9189	-4.3406	-6.0354	230.6956	0.5882	85.0167	0.6265	nan	217.7159	48.9684	68.0883	84.5939	57.5985	72.2336	72.1967	0.9967	75.6607	-3.7418	-5.2028	18.0207	2.0150	0.5645	
779.4093	782.2222	2.8129	0.3596	0.4990	0.5737	0.5760	-0.0770	-15.4378	0.0735	0.0735	0.0880	0.0670	1.3066	-0.4492	1.2289	0.9107	0.9184	-0.0077	-0.8478	0.0000	0.9145	31.8760	39.0561	37.1512	-1.9049	-5.1275	62.5646	58.4967	-4.0679	-6.9541	230.4994	0.4941	69.9933	0.6145	nan	218.4094	40.8751	69.8759	83.5746	58.3986	69.5733	69.4184	0.9982	61.8097	-3.3131	-5.6637	17.0099	2.3602	0.5479	
779.5123	779.4286	-0.0837	-0.0107	0.3996	0.4603	0.4570	-0.0574	-14.3739	0.0728	0.0728	0.0398	0.0377	1.0406	-0.3547	0.9709	0.7359	0.7428	-0.0069	-0.9381	0.0000	0.3893	30.0885	36.8539	34.8643	-1.9896	-5.7068	46.9847	44.3471	-2.6375	-5.9474	230.5490	0.3923	54.1086	0.5982	nan	219.5656	32.6137	73.5421	81.9596	60.2748	66.9926	66.9095	0.9979	47.2968	-2.9497	-6.6514	15.8788	1.8548	0.5429	
780.5019	780.4444	-0.0574	-0.0074	0.2994	0.3366	0.3411	-0.0417	-13.9232	0.0718	0.0719	-0.0866	-0.1076	0.7937	-0.2819	0.7531	0.5548	0.5600	-0.0052	-0.9376	0.0000	-0.0069	28.1911	34.5271	32.6163	-1.9107	-5.8582	33.5604	31.1222	-2.4381	-7.8341	230.8089	0.2950	39.3744	0.5783	nan	221.0427	24.4730	78.6350	79.0417	62.1544	64.4012	64.6328	0.9930	33.0630	-1.9408	-6.2360	14.7557	1.0856	0.5398	
778.7554	779.9000	1.1446	0.1468	0.2015	0.2226	0.2131	-0.0116	-5.7775	0.0711	0.0711	0.0024	0.0047	0.4975	-0.1036	0.4809	0.3580	0.3608	-0.0027	-0.7661	0.0000	0.1214	26.2010	32.0901	30.9334	-1.1567	-3.7394	19.5500	19.0470	-0.5030	-2.6409	230.9161	0.2025	25.8000	0.5517	nan	222.5505	16.4568	86.4055	73.8216	63.7853	61.7104	62.5429	0.9929	19.9668	-0.9198	-4.8292	13.8995	0.2945	0.5628	
778.3268	777.0000	-1.3268	-0.1708	0.1097	0.1256	0.1077	0.0020	1.8363	0.0708	0.0708	0.0310	0.1239	0.2518	0.0766	0.2976	0.2138	0.2156	-0.0018	-0.8244	0.0000	0.9275	24.8140	30.4137	30.2667	-0.1470	-0.4858	9.5367	10.3067	0.7700	7.4710	230.7163	0.1336	16.1233	0.5232	nan	223.6316	8.9231	86.6763	63.9082	55.3733	59.2252	60.8118	0.9192	10.1412	0.1655	1.6057	13.5342	0.5719	0.5129	



