Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	motor_temperature_2	motor_temperature_3	temperature_tamb	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	Mcl_Quantities.Stator_Resistance	My_Measured_Temp	SR_Motor_Fault	BD_Select_Method	BD_Manual_Method	BD_Level_x32	BD_Level_Rate_x32	BD_Param_x32	BD_Param_Rate_x32	BD_Reset	SR_SquaredCurrentRmsA	SR_SquaredCurrentRmsB	SR_SquaredCurrentRmsC
0.5206	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.7610	0.0000	1.3000	0.0000	0.0000	0.0000	0.0000	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.0438	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.7470	0.0000	1.3100	50.0143	49.2075	50.4018	27.2874	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5748	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.7190	0.0000	1.3000	50.0143	49.2075	50.4018	27.2874	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.0278	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.7030	0.0000	1.2900	50.0285	49.2039	50.4132	27.2524	NOT CONNECTED	0.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0016	-0.0069	0.0016	-0.0069	0.0000	0.0000	320.7235	0.0000	45.1046	0.0071	0.0054	56.5039	3.1077	30.0000	0.0000	1.0000	3.0000	192.0000	192.0000	192.0000	192.0000	255.0000	0.0000	0.0000	0.0000
2.3417	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.7030	0.0000	1.2900	50.0285	49.2039	50.4132	27.2524	NOT CONNECTED	0.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0016	-0.0069	0.0016	-0.0069	0.0000	0.0000	320.7235	0.0000	45.1046	0.0071	0.0054	56.5039	3.1077	30.0000	0.0000	1.0000	3.0000	192.0000	192.0000	192.0000	192.0000	255.0000	0.0000	0.0000	0.0000
2.6949	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.6880	0.0000	1.3000	50.0285	49.2039	50.4132	27.2524	NOT CONNECTED	0.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0016	-0.0069	0.0016	-0.0069	0.0000	0.0000	320.6978	0.0000	45.1012	0.0071	0.0053	56.5039	3.1077	30.0000	0.0000	1.0000	3.0000	192.0000	192.0000	192.0000	192.0000	255.0000	0.0000	0.0000	0.0000
2.8744	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.6880	0.0000	1.3000	50.0285	49.2039	50.4132	27.2524	NOT CONNECTED	0.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0016	-0.0069	0.0016	-0.0069	0.0000	0.0000	320.6978	0.0000	45.1012	0.0071	0.0053	56.5039	3.1077	30.0000	0.0000	1.0000	3.0000	192.0000	192.0000	192.0000	192.0000	255.0000	0.0000	0.0000	0.0000
3.3626	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.6750	0.0000	1.3000	49.9976	49.2021	50.3778	27.5636	NOT CONNECTED	0.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0016	-0.0069	0.0016	-0.0069	0.0000	0.0000	320.6938	0.0000	45.0980	0.0071	0.0056	56.4949	3.1077	30.0000	0.0000	1.0000	3.0000	192.0000	192.0000	192.0000	192.0000	255.0000	0.0000	0.0000	0.0000
3.4044	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.6750	0.0000	1.3000	49.9976	49.2021	50.3778	27.5636	NOT CONNECTED	0.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0016	-0.0069	0.0016	-0.0069	0.0000	0.0000	320.6938	0.0000	45.0980	0.0071	0.0056	56.4949	3.1077	30.0000	0.0000	1.0000	3.0000	192.0000	192.0000	192.0000	192.0000	255.0000	0.0000	0.0000	0.0000
3.9299	0.0000	-0.0140	0.0062	0.0000	0.0000	-0.0200	230.6610	0.0000	1.3000	50.0105	49.1770	50.3717	27.5880	NOT CONNECTED	0.0000	365.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0016	-0.0069	0.0016	-0.0069	0.0000	0.0000	320.6274	0.0000	45.0947	0.0071	0.0052	56.4859	3.1076	30.0000	0.0000	1.0000	3.0000	192.0000	192.0000	192.0000	192.0000	255.0000	0.0000	0.0000	0.0000
