WindyBPMp50_330uF__HefeiH24_LowSpeedTorque_230Vac_20250620_163218
Report created on: 2025/06/20: 16:36:19


Step N. = 	0
Target Speed = 	582

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
585.7786	582.2857	-3.4929	-0.5999	1.5993	1.6362	1.6767	-0.0774	-4.8408	0.1130	0.1128	5.7873	2.3441	2.4689	-0.3375	3.4470	2.3901	2.4080	-0.0179	-0.7472	0.0000	8.0114	36.2232	45.4373	44.0726	-1.3647	-3.0965	162.2984	154.7271	-7.5713	-4.8933	230.6231	1.1799	184.5371	0.6782	nan	213.3547	97.5194	63.0267	83.8461	52.8454	42.9466	66.8522	0.8480	159.6110	-4.8839	-3.1564	20.6569	4.4030	0.6691	
581.7224	582.7778	1.0554	0.1811	1.4990	1.5563	1.5581	-0.0591	-3.9404	0.1115	0.1116	5.0608	2.1725	2.3294	-0.2130	3.1742	2.2387	2.2558	-0.0171	-0.7658	0.0000	7.3429	35.2324	44.0793	43.0173	-1.0620	-2.4688	146.9996	141.6722	-5.3274	-3.7604	230.8334	1.0909	169.2933	0.6723	nan	214.0872	91.4815	64.5726	83.6845	54.0373	42.8798	66.7773	0.8493	146.2759	-4.6037	-3.2495	20.0934	3.8779	0.6696	
582.2052	582.3333	0.1282	0.0220	1.4014	1.4487	1.4652	-0.0638	-4.5501	0.1101	0.1099	4.4255	1.9924	2.2212	-0.1426	2.9743	2.0852	2.1013	-0.0161	-0.7732	0.0000	6.6845	34.2616	42.7548	41.8976	-0.8572	-2.0460	134.1186	128.7756	-5.3431	-4.1491	230.9388	1.0026	154.1889	0.6659	nan	214.7081	85.4627	66.3656	83.5181	55.4273	42.8640	66.6718	0.8510	133.0497	-4.2742	-3.3191	19.5137	3.1371	0.6721	
580.1651	582.7778	2.6126	0.4483	1.3001	1.3520	1.3526	-0.0525	-4.0388	0.1085	0.1081	3.8263	1.8395	2.0795	-0.0670	2.7390	1.9196	1.9343	-0.0147	-0.7655	0.0000	5.8341	33.6114	41.7934	40.5398	-1.2536	-3.0923	120.8108	115.6711	-5.1397	-4.4433	230.8610	0.9127	138.8867	0.6591	nan	215.2267	79.3434	68.5940	83.2845	57.1282	42.7460	66.5366	0.8582	119.7247	-4.0536	-3.5044	18.8358	2.2932	0.6773	
580.8808	581.7778	0.8970	0.1542	1.1994	1.2445	1.2369	-0.0375	-3.1233	0.1050	0.1053	3.1154	1.5915	1.9565	-0.0424	2.4940	1.7512	1.7652	-0.0140	-0.7975	0.0000	4.7121	32.1655	39.8219	39.0026	-0.8193	-2.1007	105.6349	103.0500	-2.5849	-2.5084	230.6403	0.8254	124.1022	0.6519	nan	215.6196	73.0745	70.9117	83.0364	58.8825	42.5334	66.3759	0.8711	106.8501	-3.8001	-3.6876	18.0886	1.6752	0.6849	
579.2587	582.2857	3.0270	0.5198	1.1009	1.1532	1.1422	-0.0414	-3.7585	0.1024	0.1027	2.4191	1.3003	1.8606	-0.0430	2.2692	1.5980	1.6076	-0.0096	-0.6033	0.0000	4.3976	31.2634	38.6798	37.5629	-1.1169	-2.9734	95.8288	91.9671	-3.8616	-4.1989	230.5284	0.7478	111.0914	0.6444	nan	216.1247	67.1267	72.9910	82.7850	60.4256	42.3595	66.1991	0.8846	95.3742	-3.4071	-3.7046	17.3802	1.2925	0.6889	
582.3445	581.5000	-0.8445	-0.1452	0.9995	1.0506	1.0467	-0.0472	-4.7214	0.1001	0.1002	1.9515	1.1195	1.7442	-0.1044	2.0849	1.4611	1.4731	-0.0120	-0.8191	0.0000	3.9074	30.1100	37.1912	36.2430	-0.9482	-2.6163	85.3330	82.2825	-3.0505	-3.7074	230.6730	0.6788	99.8200	0.6375	nan	216.8063	60.8642	73.9699	82.4309	60.9740	42.1060	66.0234	0.8971	85.9182	-3.6357	-4.4185	16.7168	1.7505	0.6841	
581.9539	582.1111	0.1572	0.0270	0.9001	0.9546	0.9411	-0.0410	-4.5586	0.0982	0.0984	1.5153	0.9505	1.5937	-0.0493	1.8518	1.3066	1.3178	-0.0113	-0.8625	0.0000	3.1081	29.3393	36.1353	34.7376	-1.3977	-4.0236	74.5568	71.7944	-2.7624	-3.8476	230.9366	0.6032	87.5856	0.6287	nan	217.6987	54.8696	76.4259	81.9707	62.6468	41.8109	65.8435	0.9133	75.7028	-3.9084	-5.4438	15.9567	1.2169	0.6889	
585.0730	582.2222	-2.8508	-0.4896	0.7997	0.8330	0.8505	-0.0508	-6.3565	0.0958	0.0957	1.0221	0.6894	1.4824	-0.0846	1.6182	1.1486	1.1590	-0.0103	-0.9008	0.0000	2.5333	28.2299	34.7162	33.1591	-1.5571	-4.6958	65.3912	61.4911	-3.9001	-6.3426	230.9056	0.5285	75.5644	0.6192	nan	218.3082	48.7558	79.2892	81.3757	64.5222	41.5237	65.6557	0.9321	65.0877	-3.5965	-5.8489	15.1891	0.6099	0.6962	
583.9612	582.8571	-1.1040	-0.1894	0.6989	0.7328	0.7282	-0.0293	-4.1928	0.0940	0.0940	0.7395	0.5756	1.2840	-0.0442	1.4162	0.9948	1.0039	-0.0091	-0.9163	0.0000	1.8813	27.1552	33.3410	31.6936	-1.6474	-5.1979	53.9140	51.8214	-2.0926	-4.0381	230.6074	0.4580	64.3129	0.6090	nan	218.7249	42.6560	82.3135	80.5771	66.3258	41.2486	65.4714	0.9489	55.6728	-3.8514	-7.4320	14.4902	0.0798	0.7025	
579.0428	582.0000	2.9572	0.5081	0.5994	0.6537	0.6186	-0.0191	-3.1946	0.0921	0.0925	0.4158	0.3736	1.1143	-0.0762	1.2066	0.8468	0.8547	-0.0079	-0.9345	0.0000	1.5727	26.2084	32.1576	30.3230	-1.8346	-6.0502	44.6849	42.9111	-1.7738	-4.1337	230.6060	0.3919	53.9844	0.5974	nan	219.5054	36.5343	85.1395	79.4879	67.6756	40.9488	65.2796	0.9649	46.1090	-3.1979	-7.4523	13.8142	-0.1979	0.7079	
582.9872	581.7143	-1.2729	-0.2188	0.4993	0.5385	0.5507	-0.0514	-10.2951	0.0911	0.0909	0.2712	0.2698	1.0069	-0.0815	1.0291	0.7218	0.7291	-0.0073	-1.0093	0.0000	1.0574	25.4209	31.1614	29.1914	-1.9699	-6.7483	38.8221	35.6586	-3.1636	-8.8718	230.8344	0.3371	45.6643	0.5868	nan	220.3540	30.4149	85.2949	78.0886	66.6055	40.6744	65.0988	0.9771	38.6984	-3.0398	-8.5247	13.2475	0.4716	0.6917	
581.5814	582.5000	0.9186	0.1577	0.3992	0.4358	0.4390	-0.0398	-9.9574	0.0896	0.0896	0.1008	0.1240	0.8171	-0.0771	0.8228	0.5771	0.5829	-0.0057	-0.9922	0.0000	0.8093	24.4765	29.9953	28.0693	-1.9261	-6.8618	30.1472	27.6450	-2.5022	-9.0513	230.9845	0.2757	36.4350	0.5720	nan	221.3030	24.3540	88.0954	75.8749	66.8422	40.3987	64.9399	0.9853	29.5768	-1.9318	-6.9879	12.6836	0.2436	0.6918	
583.0099	582.3333	-0.6766	-0.1162	0.2998	0.3110	0.3037	-0.0040	-1.3249	0.0880	0.0881	0.0351	0.0616	0.5751	0.0024	0.6248	0.4278	0.4313	-0.0035	-0.8211	0.0000	0.6550	23.4707	28.7573	27.1889	-1.5684	-5.7686	20.3144	19.8378	-0.4767	-2.4028	230.9418	0.2147	27.4767	0.5541	nan	222.1761	18.2811	92.1529	72.1986	66.5330	40.1472	64.7803	0.9847	20.8134	-0.9756	-4.9179	12.2375	-0.1160	0.7008	
579.4517	581.5714	2.1197	0.3645	0.2050	0.2176	0.1972	0.0078	3.8001	0.0876	0.0877	0.0732	0.1973	0.3707	0.1185	0.4325	0.3053	0.3072	-0.0020	-0.6463	0.0000	0.6911	22.6975	27.8116	27.1461	-0.6654	-2.4513	12.8245	12.9200	0.0955	0.7393	230.7126	0.1601	19.6914	0.5332	nan	222.9768	12.4851	96.6442	65.6052	63.4020	39.8884	64.6377	0.9000	13.0779	-0.1579	-1.2219	12.1744	-0.4159	0.6715	
584.7836	582.2222	-2.5614	-0.4399	0.1107	0.0943	0.1119	-0.0013	-1.1351	0.0876	0.0876	0.0477	0.2248	0.2115	0.2316	0.2337	0.2297	0.2309	-0.0012	-0.5226	0.0000	0.8018	22.0504	27.0241	26.8331	-0.1910	-0.7118	7.2655	7.0889	-0.1766	-2.4918	230.5767	0.1149	13.5078	0.5097	nan	223.8390	6.7477	95.3600	52.4405	49.9682	39.6444	64.4973	0.6636	6.9661	0.1228	1.7322	11.9877	-0.1399	0.4818	



