WindyBPMp40_OrcaH24__YC105__Dyno_Low_Speed_Torque__230Vac_40C_20250210_164829
Report created on: 2025/02/10: 17:08:49


Step N. = 	0
Target Speed = 	2000

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
1999.8702	1999.2500	-0.6202	-0.0310	0.9995	1.0970	1.0843	-0.0848	-8.4862	0.0806	0.0808	2.7526	1.2201	2.2468	-0.6919	2.4662	1.7701	1.8210	-0.0508	-2.8701	0.0000	6.9133	83.8522	103.0559	100.1158	-2.9401	-2.9367	295.3839	283.2750	-12.1089	-4.2746	230.7145	2.4827	311.9900	0.5447	nan	214.0498	209.2562	73.8703	90.7962	67.0715	96.1455	90.4527	0.9229	293.5930	-10.3180	-3.6424	46.7725	11.1224	0.5646	
2004.3267	2000.3333	-3.9934	-0.1996	0.8997	0.9857	0.9852	-0.0855	-9.5039	0.0787	0.0786	2.2467	1.0649	2.0932	-0.6456	2.2349	1.5977	1.6786	-0.0809	-5.0624	0.0000	6.1599	80.5227	98.9119	96.1180	-2.7939	-2.9068	262.8614	248.3389	-14.5225	-5.8479	230.4447	2.2176	274.0589	0.5363	nan	215.0933	188.4572	75.8871	90.6152	68.7652	94.3763	86.8452	0.9336	262.3057	-13.9668	-5.6241	44.6871	8.9240	0.5631	
2003.3175	2000.3000	-3.0175	-0.1509	0.8002	0.8778	0.8783	-0.0781	-9.7588	0.0768	0.0768	1.6434	0.8571	1.9108	-0.5876	2.0058	1.4199	1.4922	-0.0723	-5.0901	0.0000	5.6194	77.2779	94.9208	92.3031	-2.6177	-2.8360	228.8893	214.1030	-14.7863	-6.9062	230.5563	1.9520	236.9620	0.5265	nan	216.3377	167.6186	78.2889	90.3533	70.7366	92.0252	83.0173	0.9432	227.5411	-13.4381	-6.2765	42.6667	6.5388	0.5636	
2005.1129	1999.1429	-5.9700	-0.2986	0.7004	0.7721	0.7765	-0.0760	-10.8560	0.0752	0.0753	1.2746	0.7375	1.7120	-0.4250	1.7647	1.2396	1.3187	-0.0791	-6.3783	0.0000	3.9918	73.6870	90.3976	88.5759	-1.8218	-2.0567	194.1005	181.1729	-12.9277	-7.1355	230.8410	1.6919	201.4071	0.5157	nan	217.9962	146.6345	80.9363	89.9535	72.8051	89.4416	79.4777	0.9526	196.0748	-14.9020	-8.2253	40.6321	4.3401	0.5650	
2001.0442	2001.5556	0.5114	0.0255	0.6012	0.6788	0.6771	-0.0759	-12.6258	0.0742	0.0744	0.8867	0.5831	1.5150	-0.3193	1.5464	1.0685	1.1502	-0.0817	-7.6472	0.0000	3.6270	71.6141	87.8223	85.6187	-2.2036	-2.5737	166.0557	151.7022	-14.3534	-9.4616	230.8033	1.4559	169.5122	0.5045	nan	219.2343	126.0180	83.0734	89.4931	74.3448	86.6131	76.0208	0.9574	166.4045	-14.7022	-9.6915	39.0539	3.4512	0.5627	
2005.1921	2001.2857	-3.9064	-0.1952	0.5003	0.5625	0.5703	-0.0700	-13.9960	0.0735	0.0735	0.4824	0.3733	1.2921	-0.2181	1.3806	0.9154	0.9742	-0.0588	-6.4209	0.0000	2.8835	70.3606	86.2465	83.2017	-3.0447	-3.6595	138.0881	126.4500	-11.6381	-9.2037	230.5629	1.2501	142.3157	0.4938	nan	220.2081	104.8470	82.9160	88.8517	73.6722	83.7148	72.7068	0.9586	136.6859	-10.2359	-8.0948	37.7834	5.4385	0.5465	
2004.9216	2000.7778	-4.1438	-0.2071	0.4002	0.4595	0.4632	-0.0630	-15.7312	0.0728	0.0728	0.3943	0.3682	1.0580	-0.0629	1.1047	0.7430	0.8089	-0.0659	-8.8738	0.0000	1.9756	67.7626	83.0314	80.4778	-2.5537	-3.1731	108.8588	99.3556	-9.5032	-9.5649	230.4628	1.0232	113.1733	0.4799	nan	221.1574	83.8549	84.3990	87.7906	74.0944	80.5947	69.7012	0.9594	109.4924	-10.1368	-10.2026	36.3896	4.9603	0.5387	
2005.3846	2001.1111	-4.2735	-0.2136	0.3002	0.3584	0.3551	-0.0548	-18.2656	0.0719	0.0721	0.2099	0.2543	0.8213	0.0384	0.8885	0.5603	0.6407	-0.0804	-14.3533	0.0000	2.0678	65.8583	80.7020	77.6909	-3.0111	-3.8758	82.0267	72.2111	-9.8155	-13.5928	230.5634	0.7871	84.1378	0.4636	nan	222.2429	62.9132	87.1237	85.8248	74.7737	77.7261	67.0662	0.9578	83.5555	-11.3444	-15.7100	34.9578	3.3602	0.5358	
2001.9721	1999.6667	-2.3054	-0.1153	0.2054	0.2670	0.2602	-0.0547	-26.6293	0.0712	0.0712	0.1307	0.2142	0.6110	0.0653	0.6626	0.3932	0.4795	-0.0863	-21.9431	0.0000	1.5753	63.5269	77.8292	75.7346	-2.0947	-2.7658	58.8242	47.8322	-10.9920	-22.9803	230.7157	0.5638	57.6533	0.4432	nan	223.3054	43.0221	89.9485	82.9570	74.6179	74.9664	64.7198	0.9272	59.0749	-11.2426	-23.5043	33.9154	1.9123	0.5225	



