WindyBPMp40_OrcaH24_Dyno_Low_Speed_Torque_YC_B3Y03_40C_20250403_100456
Report created on: 2025/04/03: 11:43:25


Step N. = 	0
Target Speed = 	400

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
400.9498	398.8889	-2.0609	-0.5167	1.1997	1.6089	1.6181	-0.4184	-34.8755	0.0919	0.0919	3.0588	1.0439	2.9333	-1.2823	2.8450	2.1955	2.2033	-0.0078	-0.3554	0.0000	8.5102	35.5208	44.7361	44.0813	-0.6548	-1.4854	169.6012	166.4167	-3.1846	-1.9136	230.6511	1.6218	193.7544	0.5180	nan	218.2492	50.1119	30.1124	85.8905	25.8637	83.8386	110.4556	0.9928	168.5249	-2.1083	-1.2669	20.1977	23.2764	0.5464	
400.4987	400.5714	0.0727	0.0182	1.1003	1.4695	1.4853	-0.3850	-34.9917	0.0889	0.0888	2.3403	0.8415	2.7836	-1.2518	2.6157	2.0414	2.0471	-0.0057	-0.2801	0.0000	6.7425	33.6879	42.0777	41.4837	-0.5940	-1.4318	149.1541	145.8729	-3.2812	-2.2494	230.5840	1.4509	170.7900	0.5105	nan	219.0450	46.1545	31.6403	85.4107	27.0241	84.6102	106.6675	0.9945	147.5030	-1.6301	-1.1175	18.9384	19.0939	0.5390	
401.3093	400.2500	-1.0593	-0.2647	0.9990	1.3285	1.3336	-0.3346	-33.4952	0.0860	0.0857	1.9352	0.7496	2.5823	-1.1805	2.4067	1.8895	1.8947	-0.0052	-0.2767	0.0000	5.4210	32.0361	39.7942	38.9093	-0.8849	-2.2743	130.1891	126.8450	-3.3441	-2.6364	230.4692	1.2899	149.5575	0.5031	nan	219.6798	41.8722	33.0105	84.8135	27.9974	84.8685	102.7290	0.9961	129.3351	-2.4901	-1.9631	17.7118	15.8409	0.5287	
401.7825	399.7500	-2.0325	-0.5084	0.8975	1.1773	1.1744	-0.2769	-30.8492	0.0826	0.0826	1.2074	0.5099	2.3681	-1.0955	2.1646	1.7189	1.7251	-0.0062	-0.3597	0.0000	3.7947	29.7022	36.6737	36.0712	-0.6025	-1.6702	108.4119	107.1475	-1.2644	-1.1801	230.3275	1.1210	127.5925	0.4942	nan	220.3678	37.5710	35.0647	83.9763	29.4460	84.6848	98.6950	0.9977	109.4258	-2.2783	-2.1264	16.3687	12.3952	0.5221	
401.7251	398.8750	-2.8501	-0.7145	0.7986	1.0331	1.0398	-0.2412	-30.1973	0.0800	0.0797	0.6494	0.2993	2.1707	-1.0385	1.9431	1.5473	1.5515	-0.0042	-0.2712	0.0000	2.5472	27.5547	33.8939	33.1979	-0.6960	-2.0965	90.8353	88.8787	-1.9565	-2.2013	230.3116	0.9596	107.0888	0.4846	nan	221.1039	33.3586	37.5326	82.9954	31.1504	84.0750	94.6205	0.9989	91.0970	-2.2183	-2.4959	15.0146	9.2771	0.5161	
398.7169	400.4444	1.7275	0.4314	0.6999	0.9136	0.9070	-0.2071	-29.5943	0.0773	0.0773	0.1403	0.0716	1.9571	-0.9435	1.6977	1.3838	1.3867	-0.0029	-0.2090	0.0000	1.1424	25.6160	31.4065	30.3946	-1.0119	-3.3294	75.3165	72.7911	-2.5253	-3.4693	230.5062	0.8120	89.0567	0.4758	nan	221.9828	29.3494	40.3203	81.7357	32.9561	83.1724	90.8069	0.9992	74.9563	-2.1652	-2.9745	13.6923	6.5636	0.5058	
401.4800	399.5556	-1.9244	-0.4816	0.5992	0.7689	0.7774	-0.1782	-29.7319	0.0753	0.0753	-0.1748	-0.1012	1.7207	-0.8683	1.4628	1.2137	1.2158	-0.0021	-0.1748	0.0000	0.1469	23.5733	28.8723	27.6563	-1.2160	-4.3967	60.8229	57.9922	-2.8306	-4.8811	230.6880	0.6679	72.2844	0.4691	nan	222.7169	25.0722	43.2338	80.2277	34.6854	81.8928	87.1307	0.9975	60.5518	-2.5595	-4.4136	12.4177	4.6718	0.4937	
398.8293	400.6000	1.7707	0.4420	0.4992	0.6595	0.6477	-0.1485	-29.7383	0.0740	0.0740	-0.2714	-0.1865	1.4568	-0.7511	1.2556	1.0473	1.0495	-0.0022	-0.2109	0.0000	-0.6262	21.5846	26.4484	25.1077	-1.3407	-5.3397	47.3408	45.2260	-2.1148	-4.6760	230.7152	0.5437	57.8010	0.4608	nan	223.0698	20.9418	46.3055	78.2442	36.2313	80.4075	83.5788	0.9930	47.6577	-2.4317	-5.3768	11.2555	3.3518	0.4766	
399.2356	399.6667	0.4310	0.1078	0.3997	0.5245	0.5160	-0.1164	-29.1125	0.0732	0.0734	-0.2659	-0.2268	1.1705	-0.6844	1.0404	0.8548	0.8568	-0.0020	-0.2383	0.0000	-0.9798	19.7293	24.1933	22.4407	-1.7526	-7.8100	34.9724	32.6533	-2.3191	-7.1020	230.6890	0.4200	43.3950	0.4479	nan	223.7149	16.7272	51.2273	75.2469	38.5470	78.7712	80.3719	0.9828	35.3213	-2.6680	-8.1707	10.0309	2.0573	0.4676	
398.6475	400.5000	1.8525	0.4625	0.3005	0.3890	0.3802	-0.0797	-26.5255	0.0722	0.0721	-0.2450	-0.2788	0.8819	-0.4755	0.7585	0.6556	0.6568	-0.0012	-0.1849	0.0000	-1.4143	17.4393	21.4300	19.8332	-1.5967	-8.0507	23.6477	21.6325	-2.0152	-9.3156	230.6277	0.3082	30.6000	0.4305	nan	224.3262	12.6030	58.2637	70.6933	41.1878	77.0144	77.4102	0.9606	23.7354	-2.1029	-9.7209	8.8412	0.9198	0.4584	
402.0559	400.3750	-1.6809	-0.4198	0.2034	0.2270	0.2321	-0.0287	-14.1082	0.0711	0.0711	-0.1144	-0.2127	0.5384	-0.2969	0.5045	0.4270	0.4236	0.0034	0.7982	0.0000	-0.8573	15.3276	18.8049	17.5101	-1.2948	-7.3947	12.6543	12.0888	-0.5656	-4.6787	230.5190	0.2057	19.3938	0.4090	nan	225.0168	8.5272	70.5926	62.3118	43.9792	75.1588	74.6682	0.9332	13.1649	-1.0762	-8.9024	7.7817	0.1419	0.4763	
