Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	My_Measured_Temp
6.7460	0.0000	-0.0430	0.0000	0.0000	0.0000	-0.0100	230.4890	0.0000	2.3700	70.3059	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.2662	0.0000	102.1178	1.2683	0.0056	40.0000	102.1178
7.3580	0.0000	-0.0430	0.0000	0.0000	0.0000	-0.0100	230.4960	0.0000	2.3700	70.1412	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3149	0.0000	102.1178	1.2683	0.0057	40.0000	102.1178
7.3667	0.0000	-0.0430	0.0000	0.0000	0.0000	-0.0100	230.4960	0.0000	2.3700	70.1412	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3149	0.0000	102.1178	1.2683	0.0057	40.0000	102.1178
7.9876	0.0000	-0.0420	0.0000	0.0000	0.0000	-0.0100	230.5070	0.0000	2.3800	69.9154	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.2946	0.0000	102.1178	1.2683	0.0058	40.0000	102.1178
8.0934	0.0000	-0.0420	0.0000	0.0000	0.0000	-0.0100	230.5070	0.0000	2.3800	69.9154	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.2946	0.0000	102.1178	1.2683	0.0058	40.0000	102.1178
8.6095	0.0000	-0.0420	0.0000	0.0000	0.0000	-0.0100	230.5120	0.0000	2.3800	69.7253	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3474	0.0000	102.1178	1.2683	0.0057	40.0000	102.1178
8.8239	0.0000	-0.0420	0.0000	0.0000	0.0000	-0.0100	230.5120	0.0000	2.3800	69.7253	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3474	0.0000	102.1178	1.2683	0.0057	40.0000	102.1178
9.2148	0.0000	-0.0440	0.0000	0.0000	0.0000	-0.0100	230.5200	0.0000	2.3800	69.5785	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3717	0.0000	102.1178	1.2683	0.0056	40.0000	102.1178
9.5619	0.0000	-0.0440	0.0000	0.0000	0.0000	-0.0100	230.5200	0.0000	2.3800	69.5785	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3379	0.0000	102.1178	1.2683	0.0054	40.0000	102.1178
9.8361	0.0000	-0.0440	0.0000	0.0000	0.0000	-0.0100	230.5200	0.0000	2.3800	69.5785	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3379	0.0000	102.1178	1.2683	0.0054	40.0000	102.1178
10.2920	0.0000	-0.0450	0.0000	0.0000	0.0000	-0.0100	230.5250	0.0000	2.3800	69.3926	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3487	0.0000	102.1178	1.2683	0.0055	40.0000	102.1178
10.4570	0.0000	-0.0450	0.0000	0.0000	0.0000	-0.0100	230.5250	0.0000	2.3800	69.3926	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3487	0.0000	102.1178	1.2683	0.0055	40.0000	102.1178
11.0358	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	230.5300	0.0000	2.3700	69.2097	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3311	0.0000	102.1178	1.2683	0.0057	40.0000	102.1178
11.0940	0.0000	-0.0410	0.0000	0.0000	0.0000	-0.0100	230.5300	0.0000	2.3700	69.2097	NOT CONNECTED	0.0000	500.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0531	-1.2644	0.0992	-1.2671	0.0559	0.0000	0.0000	320.3311	0.0000	102.1178	1.2683	0.0057	40.0000	102.1178
