WindyBPMp50_OrcaH34_Dyno_Speed_Torque__230Vac_60C_20240809_143719
Report created on: 2024/08/09: 15:55:41


Step N. = 	0
Target Speed = 	381

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
379.8195	376.4444	-3.3751	-0.8966	2.8998	3.9098	3.9000	-1.0002	-34.4917	0.1574	0.1580	14.5544	3.5285	4.1242	-2.6864	4.7756	3.7906	3.8338	-0.0431	-1.1378	0.0000	22.8485	50.3539	67.7556	65.8426	-1.9130	-2.9054	432.5128	412.8200	-19.6928	-4.7703	230.2947	2.7490	473.5700	0.7480	nan	203.9624	114.3127	27.6917	87.1712	24.1390	48.8995	58.3183	0.9549	434.6805	-21.8605	-5.2954	32.2818	38.5842	0.7650	
382.0093	379.4286	-2.5807	-0.6802	2.7250	3.7195	3.7910	-1.0660	-39.1206	0.1541	0.1550	12.8063	3.1070	4.1248	-2.3705	4.5516	3.5782	3.6210	-0.0428	-1.1954	0.0000	21.7434	48.2969	64.8826	64.6561	-0.2265	-0.3502	400.1159	384.7900	-15.3259	-3.9829	229.9683	2.5749	439.1700	0.7417	nan	204.8772	108.2743	28.1388	87.6174	24.6545	54.9381	65.1646	0.9602	399.5540	-14.7640	-3.8369	31.5585	39.7666	0.7616	
377.8543	379.2222	1.3679	0.3607	2.5491	3.4552	3.4988	-0.9496	-37.2541	0.1486	0.1490	11.5845	2.9367	3.9465	-2.2698	4.2543	3.3567	3.3981	-0.0415	-1.2349	0.0000	21.0676	48.7339	65.0297	62.8853	-2.1444	-3.4100	381.5784	352.3933	-29.1850	-8.2819	229.8370	2.3754	401.3600	0.7352	nan	205.9314	101.2306	28.7270	87.7997	25.2222	61.0663	74.1332	0.9638	369.4668	-17.0735	-4.8450	30.5370	38.2302	0.7594	
385.9498	381.3333	-4.6165	-1.2106	2.3748	3.0354	3.0488	-0.6740	-28.3832	0.1416	0.1409	9.5019	2.6494	3.5835	-1.9983	3.9766	3.1236	3.1618	-0.0382	-1.2236	0.0000	18.1268	46.9128	61.6235	60.5756	-1.0479	-1.7299	324.4362	316.4756	-7.9607	-2.5154	230.1223	2.1525	360.4022	0.7276	nan	207.2859	94.8323	29.9652	87.8118	26.3130	66.4181	81.4385	0.9657	325.7918	-9.3163	-2.9438	29.2232	33.7802	0.7603	
392.6252	379.2500	-13.3752	-3.5267	2.2003	2.6431	2.7264	-0.5261	-23.9130	0.1340	0.1331	8.2697	2.4369	3.3915	-1.7875	3.6463	2.8899	2.9249	-0.0350	-1.2101	0.0000	16.8463	45.7053	59.6711	57.8475	-1.8236	-3.1524	294.0906	279.9350	-14.1556	-5.0567	230.6500	1.9245	319.1850	0.7191	nan	208.8958	87.3831	31.2153	87.7031	27.3768	70.7221	87.3895	0.9668	290.9099	-10.9749	-3.9205	27.6920	29.3593	0.7614	
376.9652	381.2500	4.2848	1.1239	2.0245	2.4490	2.4128	-0.3883	-19.1813	0.1276	0.1283	6.5441	2.0752	3.1536	-1.6284	3.4620	2.6556	2.6884	-0.0328	-1.2333	0.0000	15.1178	42.2683	54.9891	54.8425	-0.1466	-0.2673	246.9984	243.9900	-3.0084	-1.2330	230.8902	1.7016	278.9075	0.7099	nan	210.2094	80.8270	33.1272	87.4806	28.9799	74.1474	92.8503	0.9672	249.7865	-5.7965	-2.3757	26.0895	23.7526	0.7623	
377.6046	381.2222	3.6176	0.9490	1.8496	2.1554	2.0845	-0.2350	-12.7041	0.1209	0.1226	5.4533	1.9022	2.8650	-1.4030	3.1472	2.4256	2.4568	-0.0312	-1.2844	0.0000	13.6374	40.8455	52.7430	51.7074	-1.0355	-2.0027	214.5385	210.0489	-4.4896	-2.1374	230.8259	1.4911	241.0367	0.7003	nan	211.2277	73.8372	35.1524	87.1440	30.6332	76.6778	97.7505	0.9669	218.3305	-8.2816	-3.9427	24.4795	18.9109	0.7625	
382.7313	380.1111	-2.6202	-0.6893	1.6748	1.8528	1.8697	-0.1949	-11.6399	0.1175	0.1169	4.6962	1.7640	2.6601	-1.1421	2.9242	2.2002	2.2298	-0.0296	-1.3458	0.0000	12.4606	38.4623	49.5277	48.5051	-1.0226	-2.1082	186.5729	178.5433	-8.0296	-4.4973	230.3663	1.2954	205.9600	0.6902	nan	211.9027	66.6654	37.3384	86.6884	32.3680	78.3760	100.6192	0.9659	184.3032	-5.7598	-3.2260	22.8903	14.8207	0.7612	
382.2056	381.2222	-0.9833	-0.2579	1.4981	1.6175	1.5838	-0.0857	-5.7204	0.1115	0.1128	3.2915	1.3974	2.3536	-0.8683	2.6807	1.9758	2.0043	-0.0286	-1.4459	0.0000	10.4119	35.5501	45.3751	45.2059	-0.1693	-0.3744	147.4912	149.2011	1.7099	1.1460	229.9754	1.1104	173.3422	0.6788	nan	212.7137	59.8071	40.0851	86.0731	34.5024	79.3699	102.4193	0.9645	153.5901	-4.3890	-2.9416	21.2520	10.8716	0.7582	
386.3443	382.5556	-3.7887	-0.9904	1.3243	1.3691	1.4104	-0.0861	-6.4995	0.1089	0.1085	2.8270	1.3112	2.1536	-0.6187	2.4106	1.7509	1.7747	-0.0238	-1.3604	0.0000	9.6041	33.7751	43.0095	41.8511	-1.1584	-2.7679	128.1975	122.2556	-5.9420	-4.8603	230.2687	0.9349	143.4400	0.6663	nan	214.3039	53.0543	43.3962	85.2311	36.9871	79.6918	103.3376	0.9633	127.4667	-5.2111	-4.2625	19.5289	7.4691	0.7564	
