WindyBPMp50_HefeiH24_LowSpeedTorque_230Vac_ID12_20250527_171645
Report created on: 2025/05/27: 17:21:39


Step N. = 	0
Target Speed = 	349

Speed Mainboard (rpm_M)	Speed TestBench (rpm_M)	Speed Error (rpm_M)	Speed Error %	Torque TestBench (Nm_M)	Torque Ref (Nm)	Torque MainBoard (Nm_M)	Torque MainBoard Error (Nm_M)	Torque MainBoard Error %	Flux Ref (V/rad/s)	Flux (V/rad/s)	Id * Iq (A^2)	Id (Apeak)	Iq (Apeak)	Id Rotor (Apeak)	Iq Rotor (Apeak)	IMotor Measured (Arms)	IMotor MainBoard (Arms)	IMotor Error (Arms)	IMotor Error %	Motor Current THD %	Vsdref (Vpeak)	Vsqref (Vpeak)	Vout MainBoard (Vrms)	Vout Measured (Vrms)	Vout Error (Vrms)	Vout Error %	Motor Power MainBoard (W)	Motor Power Measured (W)	Motor Power Error (W)	Motor Power Error %	Line Voltage (Vrms)	Line Current (Arms)	Line Power (W)	Line Power Factor	Bulk Ripple (V)	DC Bus Voltage (Vrms)	Motor Mechanical Power (W)	Motor Efficiency	Inverter Efficiency	Overall Efficiency	Temperature (deg C)	Estimated Temperature (deg C)	Motor cos-phi	Electrical Power Alpha-Beta [W]	Electrical Power Error [W]	Electrical Power Error [%]	Bus Voltage Usage [%]	Rotational Losses [W]	Kt [Nm/Arms]	
350.8130	349.3636	-1.4493	-0.4148	1.4997	1.5212	1.5334	-0.0337	-2.2453	0.1110	0.1110	5.1378	2.2349	2.2988	-0.2193	3.2122	2.2649	2.2831	-0.0181	-0.7999	0.0000	7.8773	24.5618	31.5928	30.5904	-1.0024	-3.2770	111.0479	106.5264	-4.5215	-4.2445	230.5856	0.8786	133.0336	0.6567	nan	215.1378	54.8679	51.5064	80.0748	41.2436	52.9140	77.8172	0.8877	110.8642	-4.3378	-4.0720	14.2190	2.6922	0.6621	
348.1065	349.3077	1.2012	0.3439	1.3997	1.4397	1.4270	-0.0273	-1.9511	0.1097	0.1098	4.4738	2.0635	2.1671	-0.0879	3.0045	2.1079	2.1247	-0.0169	-0.8011	0.0000	7.1153	23.9053	30.5515	29.5684	-0.9831	-3.3250	99.6720	95.8785	-3.7936	-3.9567	230.8068	0.8019	120.2808	0.6499	nan	215.9095	51.2000	53.4010	79.7122	42.5672	52.8870	77.1887	0.8882	99.8358	-3.9574	-4.1275	13.6948	2.2726	0.6640	
352.4775	349.0909	-3.3866	-0.9701	1.2995	1.3196	1.3382	-0.0386	-2.9722	0.1075	0.1073	3.7581	1.8043	2.0817	-0.0779	2.7728	1.9449	1.9602	-0.0153	-0.7843	0.0000	6.3057	23.2110	29.4726	28.4236	-1.0490	-3.6906	89.4557	85.5036	-3.9521	-4.6222	230.9246	0.7266	107.8336	0.6427	nan	216.5746	47.5071	55.5615	79.2922	44.0559	52.7933	76.5751	0.8930	89.0372	-3.5336	-4.1327	13.1242	1.9048	0.6682	
346.0043	349.0909	3.0866	0.8842	1.1996	1.2616	1.2448	-0.0452	-3.7664	0.1051	0.1054	3.1133	1.5778	1.9734	-0.0596	2.5379	1.7808	1.7946	-0.0138	-0.7737	0.0000	5.3308	22.2184	27.9906	27.2034	-0.7872	-2.8938	78.3862	75.6545	-2.7317	-3.6107	230.9156	0.6544	95.9527	0.6350	nan	217.1310	43.8548	57.9671	78.8456	45.7045	52.4875	75.9519	0.9016	79.0410	-3.3864	-4.4762	12.5286	1.5750	0.6736	
347.7216	349.4545	1.7330	0.4959	1.0997	1.1588	1.1611	-0.0614	-5.5803	0.1030	0.1029	2.5562	1.3583	1.8822	-0.0422	2.3531	1.6179	1.6307	-0.0127	-0.7866	0.0000	4.4236	21.4395	26.8149	25.9471	-0.8678	-3.3446	69.5430	66.3691	-3.1739	-4.7822	230.8584	0.5856	84.7618	0.6270	nan	217.6563	40.2443	60.6371	78.3007	47.4793	52.0358	75.3494	0.9128	69.8021	-3.4330	-5.1726	11.9211	1.2177	0.6797	
349.8009	348.3077	-1.4932	-0.4287	0.9998	1.0566	1.0597	-0.0598	-5.9856	0.1006	0.1004	1.9732	1.1270	1.7506	-0.0900	2.0873	1.4611	1.4729	-0.0118	-0.8108	0.0000	3.9599	20.7116	25.8281	24.6948	-1.1332	-4.5889	61.0722	57.8292	-3.2430	-5.6079	230.7478	0.5216	74.4754	0.6188	nan	218.1274	36.4692	63.0634	77.6488	48.9680	51.8413	74.7578	0.9254	61.3601	-3.5309	-6.1057	11.3213	1.0631	0.6843	
349.5997	349.4545	-0.1452	-0.0415	0.8987	0.9675	0.9789	-0.0801	-8.9167	0.0987	0.0984	1.4513	0.8781	1.6532	-0.1283	1.8558	1.3065	1.3166	-0.0101	-0.7717	0.0000	3.1658	20.0298	24.8375	23.4109	-1.4266	-6.0936	53.8336	49.8518	-3.9818	-7.9872	230.6054	0.4608	64.8064	0.6098	nan	218.5903	32.8887	65.9729	76.9242	50.7491	51.5313	74.2222	0.9410	53.4296	-3.5777	-7.1767	10.7100	0.7518	0.6879	
347.3811	349.0769	1.6958	0.4858	0.7994	0.8827	0.8648	-0.0654	-8.1781	0.0963	0.0966	0.9728	0.6523	1.4907	-0.1134	1.6195	1.1538	1.1634	-0.0097	-0.8394	0.0000	2.5119	19.1170	23.6164	22.1015	-1.5150	-6.8545	45.2005	42.3292	-2.8713	-6.7831	230.5325	0.4026	55.7292	0.6004	nan	219.1699	29.2217	69.0343	75.9552	52.4352	51.3262	73.7100	0.9584	45.8927	-3.5634	-8.4184	10.0842	0.4744	0.6929	
347.8223	349.1818	1.3595	0.3893	0.6990	0.7766	0.7703	-0.0713	-10.1957	0.0945	0.0946	0.5821	0.4285	1.3598	-0.1720	1.4108	1.0024	1.0110	-0.0085	-0.8521	0.0000	1.9517	18.3528	22.6050	20.8101	-1.7949	-8.6254	38.6898	35.2227	-3.4671	-9.8433	230.7388	0.3468	47.1955	0.5897	nan	220.0223	25.5597	72.5661	74.6316	54.1572	50.7514	73.2189	0.9748	38.6050	-3.3823	-9.6026	9.4582	0.1463	0.6973	
350.1958	348.0000	-2.1958	-0.6310	0.5998	0.6571	0.6614	-0.0616	-10.2632	0.0928	0.0927	0.3365	0.2831	1.1892	-0.1902	1.1992	0.8578	0.8656	-0.0078	-0.9046	0.0000	1.3731	17.5020	21.5021	19.6128	-1.8893	-9.6329	31.8040	28.7836	-3.0204	-10.4934	230.9245	0.2952	39.4518	0.5788	nan	220.8459	21.8588	75.9414	72.9590	55.4060	50.5855	72.8071	0.9877	31.8135	-3.0298	-10.5262	8.8808	-0.0401	0.6992	
351.2551	348.1538	-3.1012	-0.8908	0.4999	0.5556	0.5654	-0.0655	-13.0956	0.0912	0.0912	0.1507	0.1450	1.0334	-0.1879	1.0290	0.7358	0.7427	-0.0070	-0.9477	0.0000	0.8533	16.7622	20.5564	18.6032	-1.9532	-10.4993	26.1668	23.5869	-2.5798	-10.9376	230.9529	0.2530	33.1992	0.5682	nan	221.4290	18.2266	77.2741	71.0467	54.9005	50.2364	72.4203	0.9949	26.2968	-2.7099	-11.4889	8.4014	0.2431	0.6795	
347.8802	349.2727	1.3926	0.3987	0.3993	0.4610	0.4555	-0.0562	-14.0740	0.0899	0.0898	0.0670	0.0802	0.8448	-0.1927	0.8291	0.5947	0.6005	-0.0058	-0.9676	0.0000	0.4533	15.8449	19.4143	17.5890	-1.8253	-10.3774	20.1326	18.0336	-2.0990	-11.6393	230.8370	0.2071	26.4700	0.5537	nan	222.0517	14.6037	80.9805	68.1286	55.1709	49.9367	72.0785	0.9953	20.1749	-2.1413	-11.8740	7.9211	0.0903	0.6714	
349.9863	349.3636	-0.6227	-0.1782	0.2989	0.3275	0.3342	-0.0352	-11.7912	0.0884	0.0883	-0.0034	-0.0063	0.6320	-0.1805	0.6129	0.4436	0.4482	-0.0046	-1.0445	0.0000	0.3911	15.0027	18.3811	16.7727	-1.6084	-9.5892	14.2101	12.7591	-1.4510	-11.3721	230.6081	0.1617	20.0327	0.5373	nan	222.6731	10.9356	85.7086	63.6913	54.5890	49.5701	71.7759	0.9901	14.1456	-1.3865	-10.8667	7.5324	-0.0321	0.6738	
348.4887	349.9167	1.4279	0.4081	0.2008	0.2057	0.1972	0.0037	1.8329	0.0876	0.0877	0.0530	0.1443	0.3735	0.1022	0.3873	0.2938	0.2968	-0.0030	-1.0375	0.0000	0.5865	14.1040	17.2889	16.6383	-0.6505	-3.9099	8.0286	7.9317	-0.0969	-1.2222	230.6263	0.1194	14.2117	0.5161	nan	223.6485	7.3590	92.7825	55.8072	51.7780	49.3647	71.4879	0.9368	8.2536	-0.3219	-4.0589	7.4395	-0.2405	0.6837	
350.1049	349.5833	-0.5215	-0.1492	0.1084	0.0988	0.1018	0.0066	6.0967	0.0876	0.0876	0.0447	0.2341	0.1925	0.2115	0.2084	0.2184	0.2193	-0.0009	-0.3949	0.0000	0.8286	13.4909	16.5542	16.2527	-0.3015	-1.8552	4.1851	4.2358	0.0507	1.1969	230.9199	0.0892	10.1592	0.4930	nan	224.7036	3.9691	93.8495	41.6454	39.0519	49.1069	71.2492	0.6880	4.2957	-0.0599	-1.4140	7.2329	-0.1824	0.4963	



