Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	motor_temperature_2	motor_temperature_3	temperature_tamb	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	Mcl_Quantities.Stator_Resistance	My_Measured_Temp	SR_Motor_Fault	BD_Select_Method	BD_Manual_Method	BD_Level_x32	BD_Level_Rate_x32	BD_Param_x32	BD_Param_Rate_x32	BD_Reset	SR_SquaredCurrentRmsA	SR_SquaredCurrentRmsB	SR_SquaredCurrentRmsC
0.5264	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.9740	0.0000	1.3300	0.0000	0.0000	0.0000	0.0000	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.0572	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.9600	0.0000	1.3300	28.4652	28.5842	28.6854	25.7192	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.5935	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.9450	0.0000	1.3300	28.4652	28.5842	28.6854	25.7192	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.3605	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.9080	0.0000	1.3200	28.4876	28.5648	28.6974	25.7145	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.5754	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.9080	0.0000	1.3200	28.4876	28.5648	28.6974	25.7145	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1755	0.0000	25.0000	0.0000	0.0052	39.9498	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
2.8973	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.8870	0.0000	1.3200	28.4876	28.5648	28.6974	25.7145	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1755	0.0000	25.0000	0.0000	0.0052	39.9498	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
3.2434	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.8660	0.0000	1.3200	28.4608	28.5620	28.6976	25.7440	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1241	0.0000	25.0000	0.0000	0.0053	39.9435	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
3.4155	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.8660	0.0000	1.3200	28.4608	28.5620	28.6976	25.7440	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1241	0.0000	25.0000	0.0000	0.0053	39.9435	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
3.9105	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.8450	0.0000	1.3100	28.4608	28.5620	28.6976	25.7440	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1214	0.0000	25.0000	0.0000	0.0050	39.9435	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
3.9357	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.8450	0.0000	1.3100	28.4608	28.5620	28.6976	25.7440	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.1214	0.0000	25.0000	0.0000	0.0050	39.9435	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
4.4684	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.8210	0.0000	1.3200	28.4907	28.5681	28.6944	25.7123	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0686	0.0000	25.0000	0.0000	0.0052	39.9373	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
4.5783	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.8210	0.0000	1.3200	28.4907	28.5681	28.6944	25.7123	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0686	0.0000	25.0000	0.0000	0.0052	39.9373	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
5.0001	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.7980	0.0000	1.3100	28.4689	28.5800	28.6851	25.7190	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0348	0.0000	25.0000	0.0000	0.0056	39.9310	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
5.2450	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.7980	0.0000	1.3100	28.4689	28.5800	28.6851	25.7190	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0348	0.0000	25.0000	0.0000	0.0056	39.9310	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
5.5250	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.7750	0.0000	1.3100	28.4582	28.5535	28.6803	25.7133	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	321.0348	0.0000	25.0000	0.0000	0.0056	39.9310	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
5.9128	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.7550	0.0000	1.3000	28.4847	28.5468	28.6873	25.6987	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.9983	0.0000	25.0000	0.0000	0.0053	39.9248	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
6.0437	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.7550	0.0000	1.3000	28.4847	28.5468	28.6873	25.6987	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.9983	0.0000	25.0000	0.0000	0.0053	39.9248	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
6.5726	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.7350	0.0000	1.2900	28.4847	28.5468	28.6873	25.6987	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.9509	0.0000	25.0000	0.0000	0.0053	39.9248	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
6.5805	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.7350	0.0000	1.2900	28.4847	28.5468	28.6873	25.6987	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.9509	0.0000	25.0000	0.0000	0.0053	39.9248	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
7.2474	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.6910	0.0000	1.3000	28.4724	28.5596	28.6775	25.7026	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.9171	0.0000	25.0000	0.0000	0.0054	39.9185	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
7.3619	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.6910	0.0000	1.3000	28.4724	28.5596	28.6775	25.7026	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.9171	0.0000	25.0000	0.0000	0.0054	39.9185	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
7.8865	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.6690	0.0000	1.3000	28.4724	28.5596	28.6775	25.7026	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.9184	0.0000	25.0000	0.0000	0.0053	39.9123	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
7.9151	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.6690	0.0000	1.3000	28.4724	28.5596	28.6775	25.7026	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.9184	0.0000	25.0000	0.0000	0.0053	39.9123	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
8.4191	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.6470	0.0000	1.2000	28.4865	28.5537	28.6671	25.6928	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	320.9184	0.0000	25.0000	0.0000	0.0053	39.9123	2.8600	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
8.9474	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.6260	0.0000	1.4000	28.4865	28.5537	28.6671	25.6928	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.0000	0.0000	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
9.4736	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.6100	0.0000	1.4300	28.4766	28.5556	28.6796	25.6980	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.0000	0.0000	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
9.5045	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.6100	0.0000	1.4300	28.4766	28.5556	28.6796	25.6980	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.0000	0.0000	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	0.0000	0.0000
9.9967	0.0000	0.0000	0.0067	0.0000	0.0000	-0.0200	230.5970	0.0000	1.4300	28.4650	28.5368	28.6638	25.6963	NOT CONNECTED	582.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.0000	0.0000	30.0000	0.0000	1.0000	3.0000	32.0000	32.0000	32.0000	32.0000	255.0000	0.0000	17.2777	17.1086
